id,type,text1,text2,text3,notes
,,,,,
#最新版本专属
SGB_station4,SHIP,"遵循打击学派设计风格的轨道站，链戍集团军的复仇兵器 - 不落要塞，其具备极端恐怖的舰载机投射能力，密集的搭载在空间站之上的大量动能武器将对一切敌人舰船快速施加巨量的幅能，随后赶到的机群将撕碎一切。

此空间站痴人说梦般的原定计划是令人惊愕的：链戍激进派设想依靠引力弹弓将整座空间站强行发射至霸主首都，并以此作为跳板进行报复。但由于其资金以及科研方面遭遇的大量问题，最终此方案被封存 - 但直到如今也并未被彻底否决。

这种平台具备造船厂、栖息地、工厂以及大量武器与物资储备，能在轨道影响范围内投射军事和工业力量。",,,
SGB_station4_ITS_MOVING,SHIP,"遵循打击学派设计风格的......人之领在上啊，这玩意怎么动起来了，快跑啊！",只存在于理论之中,未知条目,
SGB_Duplexing_ChainGun,WEAPON,一种专为突击舰船设计的可收纳型速射炮，得益于特殊的枪管导气冲程设计，多次弹头发射能够逐渐优化武器系统的自我调校，随后的废气会被用来重新填充下一枚弹药 - 但这种过于暴力的操作设计也会导致武器自身的枪管寿命在短短几十发后归零，也最终导致这种武器成为了所有后勤人员眼中和手中的 烫手山芋。
SGB_Roller,WEAPON,"原本是链戍作战部队的魔改鱼雷 - 作为不被军事部门所承认的一种武器，随时可能被撞击触发 曾是它的响亮名号，但在工程部介入后，这种武器就变成了一种相对稳定的设备。将大量重子物质高度离子化，然后简单粗暴的装载于一枚巨大的经过工程部认定的稳定鱼雷之上，你就得到了这个东西。

被全星域的后勤部门公认为星系间最该死的设计之一，尤其是维护方面 - 无论是维护这种武器，还是维护被这种武器烧焦的玩意。"
SGB_ArcFurnace,SHIP,"一种被 链戍集团军 所量产的突袭舰船，其携带的双工链炮能够在短时间内爆发出恐怖的输出，从而迅速撕裂敌方的护甲，并为后续的其他舰船和舰载机创造更有效的输出点位。因其市场价格相对廉价但表现优异，所以在许多佣兵舰队中都能见到他们的身影。",,,
SGB_Cupola,SHIP,"更大、更硬、生存能力更强大的超级货舰，这艘经过完全军事化设计的 冲天炉-级 的携货能力具备略胜于 阿特拉斯-级，但坚硬的防护能力远超过那脆弱的同僚，哪怕是不幸卷入战斗之中，冲天炉-级 那强大的基础性能也仍旧能够无效化大多试图骚扰的小型舰船 - 但一艘民用货船在面对大型舰船的火力直击时，何时被击毁也只是个时间问题。",,,
SGB_Zircon,SHIP,"皓石-级 驱逐舰一直在民用和军用间飘忽不定，其定位也众说纷纭，但得益于相对稳定的表现以及携带的瘫痪鱼雷，在战斗中突然冒出的皓石-级就能够让敌人那躲在舰体后的昂贵设备烧的一干二净。

一种小型的，轻盈的驱逐舰，很多时候只是被当作小型民用舰队防御上的面子工程，其性能一直算不上突出 - 直到一种由前线部队自行魔改的武器被列装于其上。",,,
SGB_Danburite,SHIP,"名字很响亮，但被派遣到这艘船上往往被认为是一件烂差事。这艘舰船的防护能力只略高于部分商船 - 这还是在有大量侧面装甲的情况下。由于内置了一门双工炮，舰船的内部几乎被镂空，而这也导致舰船那脆弱的框架会被任何星域中常见的炸药瞬间撕碎。但毕竟这艘舰船便宜无比，而且也没有巨大的船员和维护需求，对于需要协同火力的舰队而言反而是不错的选项 - 但仍旧在船员中有着骇人听闻的坏名声。

舰船自身几乎不具备自我远航能力，适合在具有一定后勤能力的舰队中充当小型火力艇来使用。",,,
SGB_Penetrator,SHIP,"没什么作战能力，但得益于稳定的护盾发生器，这种小巧的无人机可以在某些时刻撞大运般在过载前吃下巨大的单发火力 - 例如一发将它砸过载的死神鱼雷。",,,
SGB_wolf,SHIP,"和野狼-级异常相似，但头狼-级其实是野狼-级概念图的重现，这些在外观上花费了更多资金的家伙远不止颜值上比野狼要突出，其各方面的发挥也要略胜一筹。但相对而言，这种舰体由于从未被量产，即使有着相对庞大的基础数量，也并不如其他舰船一样常见。",,,
SGB_Graviton_pulse,WEAPON,"几乎在星域之中难以得一见，其与引力子束堪称师出同门的武器，但相比依靠持续性来造成稳定压制，这门武器则是在依靠过载发射率来造成短期粒子数量激增从而影响实际护盾受力比率... - 更多时候还是被简单的理解为爆发版本的引力子束。"
SGB_Tutia,WEAPON,"比导弹更强大的永远是更多的导弹，遵从这种设计逻辑，图提亚 MIRV 系统具备着相当恐怖的杀伤能力，导向能力较差的火箭弹被大量捆绑在一架无人机之上，并有无人机进行目标锁定，随后火箭弹齐发的巨大动量会撕碎这架可怜的无人机，而前方的目标也会在恐怖的火箭雨下遭受类似的命运。"
SGB_Homunculus,SHIP,"何蒙库鲁兹 - 在炼金术中的含义是人造人。这种舰船在星域中的遭遇报告相当少见，据传其内置有小型的无人机纳米工厂，在根本性上给予了这艘驱逐舰正面对抗巡洋舰的恐怖作战能力。在战斗中，一艘这样的舰船就将以极为恐怖的效率干扰、打断、撕碎敌方的一切战略部署，而图提亚 MIRV 系统所发射的导弹雨也将摧毁一切敌小型舰船的骚扰尝试。

或许在各个程度上都延续了链戍集团军对导弹的喜好。","不明舰船
遭遇数量极少
数据库中暂无简介","未知数据条目",
SGB_Transmutation,SHIP,"Transmutation - 在炼金术中专指质变(或嬗变)。其和链戍集团军中的许多舰船有着些许的相似之处，但其在星域中的数量却相当稀少。根据现有资料，其擅长在战斗中突进，并依靠自身的护盾系统掩护舰载轰炸机迅速击破面前的敌人。

这种近距离投弹不太符合链戍集团军关于Hit&Run的作战模式，但也许仍旧能算得上是打击学说。","不明舰船
遭遇数量极少
数据库中暂无简介","未知数据条目",
SGB_Cupola_P,SHIP,"经过了前红石晶特遣队的特殊改造，加装了大量甲板以及火力，同时在外观上更加突出，但和其他海盗产物不同 - 前红石晶特遣队的舰船都有接受良好的维护。

更大、更硬、生存能力更强大的超级货舰，这艘经过完全军事化设计的 冲天炉-级 的携货能力具备略胜于 阿特拉斯-级，但坚硬的防护能力远超过那脆弱的同僚，哪怕是不幸卷入战斗之中，冲天炉-级 那强大的基础性能也仍旧能够无效化大多试图骚扰的小型舰船 - 但一艘民用货船在面对大型舰船的火力直击时，何时被击毁也只是个时间问题。","不明舰船
遭遇数量极少
数据库中暂无简介","未知数据条目",
SGB_Fleamut_P,SHIP,"经过了前红石晶特遣队的特殊改造，彻底更改了护盾逻辑，同时在外观上更加突出，但和其他海盗产物不同 - 前红石晶特遣队的舰船都有接受良好的维护。

热断-级作为一种更为极端化的破军-级舰体打击特化改型，进行了不计成本的单舰优化，虽然大量内部设施都被用于匹配那独特的跃进系统，但就算比原型失去些许武器槽位，也完全不能掩盖其出色的爆发能力，数艘同时出现的热断-级将如同鬣狗般将它们的敌人封锁、蹂躏，并最终在一阵爆炸中分尸。

热断-级的设计虽然很早就被定下，但没人料到它会最终变成这个样子。破军-级被选作设计底稿只是源自于设计局内部闲聊的一场机缘巧合，而其舰船系统也只是同样来自于针对海姆斯-级舰船系统升级的一次良性系统错误。最终链戍工程师们费尽全力成功复现了这个系统缺陷，并在保证了这个问题的稳定运行后创造出了这么一种令人胆寒的舰船设计。","不明舰船
遭遇数量极少
数据库中暂无简介","未知数据条目",
SGB_Carving_P,SHIP,"经过了前红石晶特遣队的特殊改造，依靠针对大量速子舰队的袭击所获得的技术，对引擎进行了升级优化，同时涂装使得舰船在外观上更加突出，但和其他海盗产物不同 - 前红石晶特遣队的舰船都有接受良好的维护，但由于不具备稳定的替换件供给，内置的防空阵列已经被撤下，其所占用的空间已被用来优化幅能网络。

若不是因为其采用了巡洋级的修改适配端口，雕锻-级绝不可能被称呼为一艘巡洋舰。在这种舰船正式服役后，许多舰长发现雕锻-级那巡洋级的系统并不复杂 - 至少不像主力舰一样难以更改。所以在舰队中，修改舰船的安全系统线路成了很多激进舰组的乐趣，这种行为最终导致军部出台了相应的严苛法案 - 因为这种违规操作有损舰船寿命，而且严重、赤裸的暴露了链戍伪装这艘舰船实际战力的目的。","不明舰船
遭遇数量极少
数据库中暂无简介","未知数据条目",
SGB_Serpentine,WEAPON,"一枚沉重的机载无动力航弹，其内部含有大量溶胶混合物，在被释放的瞬间将会迅速扩散到附近的真空中。而随后产生的粒子冲击将冲向附近的敌人 - 并对焦灼战况中难以关闭护盾的敌人造成巨大的威胁。"
SGB_WingRail,WEAPON,"与其说这是LPC搭载的武器，不如说是这把武器搭载了LPC，整门武器占据了战机一半以上的大小，这种巨大的加速轨道将具备把弹丸送到相当远的地方，同时也具备着更强大的穿透力。"
SGB_Ares_Coop,SHIP,阿瑞斯的协同型号，代号为Ares-C05；其侧挂的劣化仪曾被称作是对离子束赤裸裸的抄袭，但在实际生产价格和实际适配度上远超它的前辈所创下的战绩；在空战和对舰上，其擅长于依靠自身良好的翻滚能力时刻确保对敌人时刻施压。其携带的额外武备也能在需要近距离缠斗时具备更多的应变手段，堪称一把全能手 - 除了令人诟病的脆弱结构令其难以在不付出巨大伤亡的前提下突防。
SGB_Agatha_Coop,SHIP,阿加莎的协同型号，代号为Agatha-C10；这种舰载机几乎和原型号不搭边，其大幅度的外形和体系更改都在各个层面上让它成为了一种全然不同的东西 - 一种浮游炮一般的轨道炮支援机，其具备持续威胁范围内敌人的能力，在许多时候能够保证母舰亦或是保护目标的对手不敢贸然突进，但其繁杂的设备需求让它变成了补给黑洞。
SGB_Agatha_Assault,SHIP,阿加莎的打击型号，代号为Agatha-S72；这种舰载机几乎和原型号不搭边，其大幅度的外形和体系更改都在各个层面上让它成为了一种全然不同的东西 - 一种极端的施压战机，为了迅速摧毁敌人的护盾，每艘舰载机都携带了一挺卷边器和一枚蛇纹石航弹，这些恐怖的动能火力足以在一瞬间将目标的护盾轰出崩塌警报，就算对方关闭了护盾，硕大的航弹仍旧能对目标造成可观的伤害 - 更何况许多舰队还会选择使用具备其他打击手段的战机来抓住这次打击机会。
SGB_Microhierax,SHIP,舰体的防御模块本身并不具备什么特色，但得益于其内置的时流系统，以及舰体前方具备大量武器类型接口的武备设计令其能爆发出其他扩展纪元舰船所不具备的恐怖实力，但由于这种舰船从未被正式量产，在星海之中远不如其他舰船一样常见。
SGB_WingPushPlate,SHIP_SYSTEM,为什么这种东西会被放到舰载机上？,,,
,,,,
#星球/地图建筑描述,,,,,,
,,,,,
SGB_planet1_description,CUSTOM,"作为在不知多久前遗弃的星堡，这里遍布大量的军事废墟，经过链戍集团军漫长的恢复工作，这座星堡的绝大多数设施都已经恢复运行 - 包括那耗能巨大的行星护盾。

链戍集团军的总核心便设立于此处，舰船不分昼夜的从船厂内竣工而出，大量的矿藏被这样快速消耗，整颗行星的一切都是为了复仇而做准备。

整颗行星的地下结构几乎被掏空并被重构，无数的地下""大陆架""结构支撑起地表的板块和地下的广袤网络系统，以保证整颗星球的人民能得以在最为恐怖的入侵中幸存。

由于其强势的军事化管理，黑市不存在于此星球。",,"红色的行星护盾如同蜘蛛网一样把整个星球包裹在其中，星球原本是一颗被废弃的星堡，但最终还是被链戍集团军的烈焰所驱动。你能看见大量舰船在星球各地被铸造，整个星球的矿产在被不计后果的开采，无数建筑物凌乱但却充满秩序的填充着所有缝隙，要塞的地下网络从地表直达地心。而你听说这一切都是在不到一个星历年内所完成的。

这里就是 链戍集团军 的新首都。

因为这里有着极为可怕的监管体系，在内务队的控制下，就再也没有任何海盗能得以混入其中 - 他们大多都在进入后的半周内被抓捕，并处以""泼酸刑""。而极端卢德分子则是依靠生活在各种不稳定的、散发剧毒的工业设施之中来避免可怕的审查 - 你很确信这里没法形成什么黑色产业链。

由于链戍内激进派近期的行动以及当权沉沦派政府机关的不作为，链戍军队中那股久违烈焰似乎被重新点燃。堪称丧心病狂的新军事化行动令链戍获得了大量兵员 - 尤其是大量不会流入市场的""黑衫内务队""，后者在星域中往往是链戍诸多舰队之上的核心军官成员。

这颗星球曾见证了一个时代的终结；而现在它见证了链戍集团军的崛起。在这里，链戍集团军或许会重拾打击战斗群的称号，并创造新的历史。",
SGB_planet3_description,CUSTOM,这里的天气热的惊人，整个星球的居住区都强烈依靠地下深层的居住区来进行生活。大多数的交易以及对外沟通则是依靠轨道上的空间站进行。,,"你感觉你要看到幻觉了。

整个星球的大气层在炽热之下呈现一股诡异的透视感。所有的东西都是扭曲的 - 你甚至还没搭乘穿梭艇往下开。

这里的天气热的惊人，大量沙尘暴和席卷全球的酸尘热浪在行星上空形成一股巨大的移动山脉。整个星球的居住区都强烈依靠地下深层的居住区来进行生活。而大多数的交易以及对外沟通则是依靠轨道上的空间站进行。",
SGB_resourcesPlanet_description,CUSTOM,"一些已经被勘测过的行星，但是并没有被 链戍集团军 所开发。",,,
SGB_planet_aouintes_Mission_Finish,CUSTOM,"链戍集团军 的旧首都，当 链戍集团军 正在和 速子科技 进行着局部冲突时，霸主 的舰队趁虚而入，并对这里进行了轨道轰炸。

链戍的部队 - 代号为 锻锤机动组 的小组迅速进行了反应，但等他们突破封锁线并到达星球轨道之上时 -
他们只看见了整个星球的漫天火海。

愤怒的残余链戍部队向着霸主主力舰队发起了一次决死地战斗 - 目的以只为杀伤敌方舰船，不考虑自我死活。虽然霸主舰队则毫不费力地扫清了这支绝望的舰队，但仍旧损失了几十余条战舰。

星球的大气层已经在那次灾难中消耗殆尽，而原本充足的有机物则变成了地表的熔岩亦或是漫天的烟尘，同时大量曾经开采的矿物变成了粉末糅杂于空气之中，在丁达尔效应下形成了这粉红的光芒 - 但也形成了致死级别的大气污染。

而根据 霸主 官方的辩解，那是一次战术轰炸。",,,
SGB_planet_aouintes,CUSTOM,"链戍集团军 的旧首都，当 链戍集团军 正在和 速子科技 进行着局部冲突时，霸主 的舰队趁虚而入，并对这里进行了轨道轰炸。

链戍的部队根本还没来得及反应，整个星球就已经被霸主的轰炸所捣毁。

星球的大气层已经在那次灾难中消耗殆尽，而原本充足的有机物则在那场燃烧中彻底消失不见，大量曾经开采的矿物变成了粉末糅杂于空气之中 - 形成了致死级别的大气污染。

根据 霸主 官方的说法，那是一次战术轰炸。",,,
SGB_planet6_platform,CUSTOM,"一个位置有些许偏远的前哨站，根据推测大概会在百年内因磁场作用而坠入母星；虽然现已被废弃，但至少外观上仍旧维护良好，对你而言这是可以避免仓库关税的好地方。",,"内部仍旧有着必要的些许舰船维护设施，并且大多数舱室仍旧保持良好，你推测这里曾经有人使用过。

随着你的勘测小队愈发深入探索，有着速子科技雇员标志的残缺尸体便显露在一些维护较差的地方，这里也有着不少舰船紧急起飞的痕迹 - 几个被链炮从内部撕裂的创口以及其上留下的反物质引擎灼烧痕迹，而他们的其中一些舰船似乎没能成功起飞。

这里曾经也有着不少似乎从属于第二十七战斗群的人员 - 这是在探索小队扫描了更多飘在更深处的尸体身份卡得知的。

也许这里发生过一场大战，亦或是一场哗变？但不论怎么样，他们似乎留下了点东西，而你确信这些东西对你的帮助远比那些古老的故事有趣的多。

[第一次到达此储存点时可以从中获取一些前人留下的资源]
你可以在此处维护你的舰船，亦或是存储大量物品。",
,,,,,
SGB_Ampoist_station,CUSTOM,"曾经受过链戍的打击的科研要塞，现如今仍旧能够勉强正常运作，而在受袭之前，这里总能定期产出一定的科研成果。

但随着链戍的那次打击，大量科研设施被不可逆损坏，现如今这里已经名存实亡。",,"要塞内有着大量的补丁，许多地方仍旧有着正在施工的标志。那次战斗据说非常惨烈，链戍所使用的冲击弹药直接过载了空间站的护盾系统，并导致的大量电路逆流几乎彻底将内部科研模块烧了个一干二净。

而紧随而来的大量战机则是完全本着灭绝措施而行动，无数火神炮将试图撤离的穿梭机全部打成夹杂着血肉的爆炸烟花。

在那之后，速子就对这个空间站没有多少资金投入了。",
SGB_Ampoist_station_Capt,CUSTOM,"曾经受过链戍的打击的科研要塞，在被链戍夺取后，经过大量的军事化调整，这里已经变成了彻彻底底的战斗要塞。

曾经的科研设施已经被提取残余信息，而多余的部分则被融成金属板用于制作舰船和弹药。",,"要塞内虽相当拥挤，但却被布置的十分合理。那次战斗据说非常惨烈，链戍所使用的冲击弹药直接过载了空间站的护盾系统，并导致的大量电路逆流几乎彻底将内部科研模块烧了个一干二净。

而紧随而来的大量战机则是完全本着灭绝措施而行动，无数火神炮将试图撤离的穿梭机全部打成夹杂着血肉的爆炸烟花。

在那之后，这里便接受了大量军事化改造，并被持有者试图作为核心星域的战术部署跳板。",
#势力介绍,,,,,,
SGB,FACTION,"
链戍集团军是中科风格的战斗群，一度被认为失联，但由于当时发生了重大的事件 - 大崩塌事件。这使得并没有任何组织有想过或是有能力去寻找他们，但对于不清楚具体原因的链戍集团军来说，他们只是在一次极为普通的演习后就被抛弃在星海之中的一小撮舰队罢了。这最终导致链戍集团军抛弃了他们原本的头衔 - 链戍打击队伍第二十七战斗群，并成为了一伙极度正规的逃兵；虽然随着链戍集团军内部的研究，历史逐渐明朗 - 自身被”抛弃“的缘由并非是来自人之领的恶意，但长久的遗留问题并不是短时间就能纠正的 - 最终链戍集团军决定遗忘这一切，并集体前往附近的星域度过余生。

与霸主不同，链戍并不在意人之领是否为正统 - 因为他们在失联后并没有被找回, 这让他们对确保人之领统治这件事丝毫不上心; 他们对星系霸权也没有任何想法，并很乐意与各个势力构建良好合作关系，毕竟往往合作才能解决争端问题。

但对于混乱的英仙座来说，站队不绝对就是绝对不站队；在一系列大大小小的局部冲突后，愤怒的链戍集团军正式宣布向速子科技以及霸主宣战，但仍旧与英仙座联盟保持了较为正常的外交关系。最终由于双线作战，导致链戍集团军受到了巨大的损失，并不得不退出了核心星域，退守到一个由他们所控制的小型军事星系之中伺机待发。",,,
,,,,,
#武器,,,,,,
SGB_Quench_Rocket,WEAPON,淬火 SRM 单元具备快速的导弹恢复能力，其能以稳定的速率生产导弹并自行装填，无论是短时间的爆发能力还是长久的压制，它都能完美的完成任务。,,,
SGB_Quench_Chaingun_L,WEAPON,淬火 链炮 模块本质上便是略微加快了发射速率的链炮装置，由于实际上体型更小，所以它维护起来相当麻烦。但在战场环境中，这挺链炮还是十分可靠的。,,,
SGB_Quench_Chaingun_R,WEAPON,淬火 链炮 模块本质上便是略微加快了发射速率的链炮装置，由于实际上体型更小，所以它维护起来相当麻烦。但在战场环境中，这挺链炮还是十分可靠的。,,,
,,,,,
SGB_Resonance,WEAPON,“磁共振 重轨炮使用了一种更为极端的能量爆矢推进系统，依靠短时释放的空间引导场，弹头可以以极端的速度裹挟着大量能量高速掠袭到敌方的面前，并在持续的发射下强迫敌人只能看着自己的护盾维持系统逐渐报警、崩塌、熔毁。“
SGB_Shackles_MissileLauncher,WEAPON,"鞭绽 MRM 发射器作为一种内置的导弹发射台，其具备压制性的远距反导能力；虽然正常情况下这些发射出去的导弹只能造成一定的破片损伤，但在面对密集或是并不密集的导弹时都可以依靠连爆来发挥出恐怖的制空能力；鞭绽 MRM 发射器所具备的自追踪系统对中小型导弹目标进行了特化，但其对舰锁定的能力已在一次测试后被强制锁定 - 为了防止对己方受损舰船的误击。",,,
SGB_Shackles_MissileLauncher_L,WEAPON,"鞭绽 MRM 发射仓将与其同名的鞭绽导弹进行额外的适配以进行安置，但相比于更小型化的发射仓，此版本在载荷、射程以及供弹方面都要差上许多。

其具备压制性的远距点防能力；虽然正常情况下这些发射出去的导弹只能造成一定的破片损伤，但在面对未成体系的舰载机以及并不密集的导弹时可以发挥出恐怖的制空能力；

鞭绽所具备的自追踪系统对中小型导弹目标进行了特化，但其对舰锁定的能力已在一次测试后被强制锁定 - 为了防止对己方受损舰船的误击。",,,
SGB_MeltingMold_Launcher,WEAPON,"熔模 EDL 能量密度载荷是一种微缩的等离子炮，小型化的过程使其实际输出受到了极大限制，独特的充能要求也使得它无法量产，也不能在战斗中装填；但抛开这些因素，熔模 EDL的独特发射模式让它拥有了独特的倒灌能力 - 弹体一旦接触到舰船，内涵的大量不稳定幅能流将飞速席卷整艘舰船。"
#SGB_Shackles_MissileLauncher,WEAPON,鞭绽 SRM 发射器最开始曾被设计为一种瘫痪类型的导弹，但在链戍发现这种导弹具有良好的载荷能力后，便对其进行了一定程度上的改造 - 移除臃肿的EMP发生装置，并进一步强化导弹的持久能力以及防护；将其变成了一个彻彻底底的追踪钢管发射器，并对敌人的护盾产生相对良好的压制效益。
SGB_Argion_Rocket,WEAPON,阿尔贞的导弹挂仓，得益于充足的原材料携带，舰体的导弹发射器在经过设计后便拥有了一定程度上的自恢复系统，配合阿尔贞的{Hit&Run 时总能将导弹扔的到处都是，随后从各个方向砸向没有全向护盾的敌人。,,,
SGB_Axio_Rocket,WEAPON,扔掉老旧的歼灭者火箭发射器吧！阿克西奥 渊薮挂仓具有整整 16 发渊薮导弹，这些凶残的小家伙会在发射后直接冲向敌人，而不需要像歼灭者一样瞄准和预判，在善于突击的舰载机身上总能爆发出恐怖的威力。,,,
SGB_Wings_Missile,WEAPON,渊薮导弹具备在一定距离内向敌人施压的能力，不过此挂点只携带了一枚此种导弹，虽然可以依靠装弹机缓慢装填，但其实际发挥不一定有渊薮 SRM 单元那么突出。,,,
SGB_Ship_Red_Missile,WEAPON,狼疮导弹具备良好的制导高速打击能力，不过此挂点只携带了一枚此种导弹，虽然可以依靠装弹机缓慢装填，但其实际发挥不一定有狼疮 MRM 单元那么突出。,,,
XXVII_den_Redmond_L,WEAPON,渊薮 SRM 单元具备在一定距离内向敌人施压的能力，其能依靠充足的载弹在整场战斗中向敌人制造弹幕；其单个导弹的威胁并不突出，但形成数量后则会变得极为危险。,,,
XXVII_den_Redmond_R,WEAPON,渊薮 SRM 单元具备在一定距离内向敌人施压的能力，其能依靠充足的载弹在整场战斗中向敌人制造弹幕；其单个导弹的威胁并不突出，但形成数量后则会变得极为危险。,,,
XXVII_den_Felix_L,WEAPON,渊薮 SRM 单元具备在一定距离内向敌人施压的能力，其能依靠充足的载弹在整场战斗中向敌人制造弹幕；其单个导弹的威胁并不突出，但形成数量后则会变得极为危险。,,,
XXVII_den_Felix_R,WEAPON,渊薮 SRM 单元具备在一定距离内向敌人施压的能力，其能依靠充足的载弹在整场战斗中向敌人制造弹幕；其单个导弹的威胁并不突出，但形成数量后则会变得极为危险。,,,
XXVII_den_Anvil_L,WEAPON,渊薮 SRM 单元具备在一定距离内向敌人施压的能力，其能依靠充足的载弹在整场战斗中向敌人制造弹幕；其单个导弹的威胁并不突出，但形成数量后则会变得极为危险。,,,
XXVII_den_Anvil_R,WEAPON,渊薮 SRM 单元具备在一定距离内向敌人施压的能力，其能依靠充足的载弹在整场战斗中向敌人制造弹幕；其单个导弹的威胁并不突出，但形成数量后则会变得极为危险。,,,
,,,,,
